,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
6175,6175,1995-10-15,1995,7,False,Arizona Cardinals,24.0,20.0,Washington Redskins,ARI,"(-2.5, 0)","(40.0, 0)",University of Phoenix Stadium,False,84.0,"(6.0, 0)","(23.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6198,6198,1995-10-22,1995,8,False,Washington Redskins,36.0,30.0,Detroit Lions,DET,"(-1.0, 0)","(43.0, 0)",RFK Memorial Stadium,False,52.0,"(8.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6211,6211,1995-10-29,1995,9,False,Washington Redskins,15.0,24.0,New York Giants,WAS,"(-3.0, 0)","(41.5, 0)",RFK Memorial Stadium,False,52.0,"(12.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6219,6219,1995-11-05,1995,10,False,Kansas City Chiefs,24.0,3.0,Washington Redskins,KC,"(-8.5, 0)","(43.0, 0)",Arrowhead Stadium,False,41.0,"(15.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6254,6254,1995-11-19,1995,12,False,Washington Redskins,20.0,27.0,Seattle Seahawks,WAS,"(-3.5, 0)","(43.0, 0)",RFK Memorial Stadium,False,44.0,"(12.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6269,6269,1995-11-26,1995,13,False,Washington Redskins,7.0,14.0,Philadelphia Eagles,PHI,"(-3.0, 0)","(43.0, 0)",RFK Memorial Stadium,False,38.0,"(9.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6273,6273,1995-12-03,1995,14,False,Dallas Cowboys,17.0,24.0,Washington Redskins,DAL,"(-17.0, 0)","(46.0, 0)",Texas Stadium,False,63.0,"(14.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6295,6295,1995-12-10,1995,15,False,New York Giants,20.0,13.0,Washington Redskins,NYG,"(-3.0, 0)","(41.0, 0)",Giants Stadium,False,26.0,"(20.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6314,6314,1995-12-17,1995,16,False,St. Louis Rams,23.0,35.0,Washington Redskins,LAR,"(-3.5, 0)","(43.0, 0)",Edward Jones Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
6329,6329,1995-12-24,1995,17,False,Washington Redskins,20.0,17.0,Carolina Panthers,WAS,"(-4.5, 0)","(40.5, 0)",RFK Memorial Stadium,False,33.0,"(13.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6355,6355,1996-09-01,1996,1,False,Washington Redskins,14.0,17.0,Philadelphia Eagles,WAS,"(-1.5, 0)","(40.5, 0)",RFK Memorial Stadium,False,76.0,"(9.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6370,6370,1996-09-08,1996,2,False,Washington Redskins,10.0,3.0,Chicago Bears,PICK,"(0.0, 0)","(43.5, 0)",RFK Memorial Stadium,False,77.0,"(9.0, 0)","(80.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6380,6380,1996-09-15,1996,3,False,New York Giants,10.0,31.0,Washington Redskins,WAS,"(-1.0, 0)","(38.5, 0)",Giants Stadium,False,68.0,"(10.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6395,6395,1996-09-22,1996,4,False,St. Louis Rams,10.0,17.0,Washington Redskins,LAR,"(-2.0, 0)","(40.5, 0)",Edward Jones Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
6409,6409,1996-09-29,1996,5,False,Washington Redskins,31.0,16.0,New York Jets,WAS,"(-8.5, 0)","(38.5, 0)",RFK Memorial Stadium,False,62.0,"(10.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6429,6429,1996-10-13,1996,7,False,New England Patriots,22.0,27.0,Washington Redskins,NE,"(-4.5, 0)","(41.0, 0)",Foxboro Stadium,False,53.0,"(8.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6447,6447,1996-10-20,1996,8,False,Washington Redskins,31.0,21.0,New York Giants,WAS,"(-7.5, 0)","(37.5, 0)",RFK Memorial Stadium,False,50.0,"(11.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6461,6461,1996-10-27,1996,9,False,Washington Redskins,31.0,16.0,Indianapolis Colts,WAS,"(-3.0, 0)","(39.0, 0)",RFK Memorial Stadium,False,63.0,"(8.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6465,6465,1996-11-03,1996,10,False,Buffalo Bills,38.0,13.0,Washington Redskins,BUF,"(-3.0, 0)","(39.5, 0)",Ralph Wilson Stadium,False,34.0,"(15.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6490,6490,1996-11-10,1996,11,False,Washington Redskins,34.0,37.0,Arizona Cardinals,WAS,"(-10.5, 0)","(40.0, 0)",RFK Memorial Stadium,False,42.0,"(10.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6501,6501,1996-11-17,1996,12,False,Philadelphia Eagles,21.0,26.0,Washington Redskins,PHI,"(-6.0, 0)","(41.0, 0)",Veterans Stadium,False,38.0,"(3.0, 0)","(46.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6520,6520,1996-11-24,1996,13,False,Washington Redskins,16.0,19.0,San Francisco 49ers,SF,"(-3.5, 0)","(44.0, 0)",RFK Memorial Stadium,False,43.0,"(7.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6522,6522,1996-11-28,1996,14,False,Dallas Cowboys,21.0,10.0,Washington Redskins,DAL,"(-9.0, 0)","(43.5, 0)",Texas Stadium,False,39.0,"(5.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6550,6550,1996-12-08,1996,15,False,Tampa Bay Buccaneers,24.0,10.0,Washington Redskins,WAS,"(-3.0, 0)","(38.0, 0)",Houlihan's Stadium,False,64.0,"(12.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6554,6554,1996-12-15,1996,16,False,Arizona Cardinals,27.0,26.0,Washington Redskins,WAS,"(-3.0, 0)","(40.5, 0)",University of Phoenix Stadium,False,61.0,"(12.0, 0)","(15.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6580,6580,1996-12-22,1996,17,False,Washington Redskins,37.0,10.0,Dallas Cowboys,DAL,"(-1.0, 0)","(37.0, 0)",RFK Memorial Stadium,False,34.0,"(9.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6595,6595,1997-08-31,1997,1,False,Carolina Panthers,10.0,24.0,Washington Redskins,CAR,"(-3.5, 0)","(38.0, 0)",Bank of America Stadium,False,78.0,"(3.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6619,6619,1997-09-07,1997,2,False,Pittsburgh Steelers,14.0,13.0,Washington Redskins,PIT,"(-3.5, 0)","(40.5, 0)",Three Rivers Stadium,False,67.0,"(8.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6634,6634,1997-09-14,1997,3,False,Washington Redskins,19.0,13.0,Arizona Cardinals,WAS,"(-8.0, 0)","(41.0, 0)",FedEx Field,False,71.0,"(7.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6660,6660,1997-09-28,1997,5,False,Washington Redskins,24.0,12.0,Jacksonville Jaguars,WAS,"(-1.0, 0)","(43.5, 0)",FedEx Field,False,64.0,"(14.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6672,6672,1997-10-05,1997,6,False,Philadelphia Eagles,24.0,10.0,Washington Redskins,PHI,"(-3.5, 0)","(41.5, 0)",Veterans Stadium,False,68.0,"(7.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6686,6686,1997-10-13,1997,7,False,Washington Redskins,21.0,16.0,Dallas Cowboys,DAL,"(-3.0, 0)","(39.5, 0)",FedEx Field,False,65.0,"(8.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6698,6698,1997-10-19,1997,8,False,Tennessee Oilers,28.0,14.0,Washington Redskins,WAS,"(-2.0, 0)","(41.0, 0)",Liberty Bowl Memorial Stadium,False,55.0,"(4.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6711,6711,1997-10-26,1997,9,False,Washington Redskins,17.0,20.0,Baltimore Ravens,WAS,"(-6.5, 0)","(44.5, 0)",FedEx Field,False,50.0,"(11.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6718,6718,1997-11-02,1997,10,False,Chicago Bears,8.0,31.0,Washington Redskins,WAS,"(-3.0, 0)","(40.0, 0)",Soldier Field,False,42.0,"(14.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6741,6741,1997-11-09,1997,11,False,Washington Redskins,30.0,7.0,Detroit Lions,WAS,"(-4.0, 0)","(41.0, 0)",FedEx Field,False,50.0,"(15.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6745,6745,1997-11-16,1997,12,False,Dallas Cowboys,17.0,14.0,Washington Redskins,DAL,"(-5.5, 0)","(38.5, 0)",Texas Stadium,False,37.0,"(8.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6771,6771,1997-11-23,1997,13,False,Washington Redskins,7.0,7.0,New York Giants,WAS,"(-5.5, 0)","(36.0, 0)",FedEx Field,False,49.0,"(5.0, 0)","(90.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6786,6786,1997-11-30,1997,14,False,Washington Redskins,20.0,23.0,St. Louis Rams,WAS,"(-8.5, 0)","(36.5, 0)",FedEx Field,False,50.0,"(6.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6789,6789,1997-12-07,1997,15,False,Arizona Cardinals,28.0,38.0,Washington Redskins,WAS,"(-2.5, 0)","(38.0, 0)",University of Phoenix Stadium,False,57.0,"(6.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6804,6804,1997-12-13,1997,16,False,New York Giants,30.0,10.0,Washington Redskins,NYG,"(-3.0, 0)","(36.5, 0)",Giants Stadium,False,36.0,"(13.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6831,6831,1997-12-21,1997,17,False,Washington Redskins,35.0,32.0,Philadelphia Eagles,WAS,"(-5.5, 0)","(38.0, 0)",FedEx Field,False,42.0,"(10.0, 0)","(58.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6853,6853,1998-09-06,1998,1,False,New York Giants,31.0,24.0,Washington Redskins,NYG,"(-2.5, 0)","(36.5, 0)",Giants Stadium,False,80.0,"(12.0, 0)","(42.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6873,6873,1998-09-14,1998,2,False,Washington Redskins,10.0,45.0,San Francisco 49ers,SF,"(-4.5, 0)","(43.5, 0)",FedEx Field,False,78.0,"(10.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
