,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9953,9953,2009-12-20,2009,15,False,Carolina Panthers,26.0,7.0,Minnesota Vikings,MIN,"(-9.0, 0)","(43.0, 0)",Bank of America Stadium,False,39.0,"(7.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
9980,9980,2009-12-28,2009,16,False,Chicago Bears,36.0,30.0,Minnesota Vikings,MIN,"(-8.5, 0)","(42.0, 0)",Soldier Field,False,26.0,"(16.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
9990,9990,2010-01-03,2009,17,False,Minnesota Vikings,44.0,7.0,New York Giants,MIN,"(-8.0, 0)","(48.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10003,10003,2010-01-17,2009,Division,True,Minnesota Vikings,34.0,3.0,Dallas Cowboys,MIN,"(-2.5, 0)","(45.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10006,10006,2010-01-24,2009,Conference,True,New Orleans Saints,31.0,28.0,Minnesota Vikings,NO,"(-3.5, 0)","(54.0, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10008,10008,2010-09-09,2010,1,False,New Orleans Saints,14.0,9.0,Minnesota Vikings,NO,"(-5.0, 0)","(49.5, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10033,10033,2010-09-19,2010,2,False,Minnesota Vikings,10.0,14.0,Miami Dolphins,MIN,"(-6.0, 0)","(41.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10048,10048,2010-09-26,2010,3,False,Minnesota Vikings,24.0,10.0,Detroit Lions,MIN,"(-13.0, 0)","(43.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10083,10083,2010-10-11,2010,5,False,New York Jets,29.0,20.0,Minnesota Vikings,NYJ,"(-4.5, 0)","(40.0, 0)",MetLife Stadium,False,72.0,"(1.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10088,10088,2010-10-17,2010,6,False,Minnesota Vikings,24.0,21.0,Dallas Cowboys,MIN,"(-1.5, 0)","(44.0, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10103,10103,2010-10-24,2010,7,False,Green Bay Packers,28.0,24.0,Minnesota Vikings,GB,"(-2.5, 0)","(44.5, 0)",Lambeau Field,False,59.0,"(4.0, 0)","(96.0, 0)","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
10117,10117,2010-10-31,2010,8,False,New England Patriots,28.0,18.0,Minnesota Vikings,NE,"(-5.5, 0)","(45.0, 0)",Gillette Stadium,False,52.0,"(16.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10133,10133,2010-11-07,2010,9,False,Minnesota Vikings,27.0,24.0,Arizona Cardinals,MIN,"(-7.5, 0)","(42.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10141,10141,2010-11-14,2010,10,False,Chicago Bears,27.0,13.0,Minnesota Vikings,MIN,"(-1.0, 0)","(41.5, 0)",Soldier Field,False,44.0,"(2.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
