,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
3618,3618,1984-09-23,1984,4,False,Cincinnati Bengals,14.0,24.0,Los Angeles Rams,CIN,"(-5.0, 0)","(41.0, 0)",Cinergy Field,False,69.0,"(11.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3635,3635,1984-09-30,1984,5,False,Los Angeles Rams,33.0,12.0,New York Giants,LAR,"(-2.5, 0)","(39.5, 0)",Anaheim Stadium,False,70.0,"(10.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3654,3654,1984-10-07,1984,6,False,Los Angeles Rams,28.0,30.0,Atlanta Falcons,LAR,"(-3.5, 0)","(44.0, 0)",Anaheim Stadium,False,68.0,"(10.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3665,3665,1984-10-14,1984,7,False,New Orleans Saints,10.0,28.0,Los Angeles Rams,NO,"(-3.0, 0)","(43.0, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
3685,3685,1984-10-22,1984,8,False,Atlanta Falcons,10.0,24.0,Los Angeles Rams,ATL,"(-1.5, 0)","(45.0, 0)",Atlanta-Fulton County Stadium,False,71.0,"(12.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3693,3693,1984-10-28,1984,9,False,Los Angeles Rams,0.0,33.0,San Francisco 49ers,SF,"(-3.0, 0)","(45.0, 0)",Anaheim Stadium,False,60.0,"(7.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3712,3712,1984-11-04,1984,10,False,St. Louis Cardinals,13.0,16.0,Los Angeles Rams,ARI,"(-6.0, 0)","(48.0, 0)",Busch Memorial Stadium,False,53.0,"(10.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3719,3719,1984-11-11,1984,11,False,Los Angeles Rams,29.0,13.0,Chicago Bears,LAR,"(-2.0, 0)","(35.5, 0)",Anaheim Stadium,False,61.0,"(9.0, 0)","(51.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3733,3733,1984-11-18,1984,12,False,Green Bay Packers,31.0,6.0,Los Angeles Rams,GB,"(-2.5, 0)","(45.0, 0)",Lambeau Field,False,34.0,"(13.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3753,3753,1984-11-25,1984,13,False,Tampa Bay Buccaneers,33.0,34.0,Los Angeles Rams,LAR,"(-3.0, 0)","(37.0, 0)",Houlihan's Stadium,False,65.0,"(8.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3763,3763,1984-12-02,1984,14,False,Los Angeles Rams,34.0,21.0,New Orleans Saints,LAR,"(-7.0, 0)","(40.5, 0)",Anaheim Stadium,False,56.0,"(7.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
