,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10542,10542,2012-09-05,2012,1,False,New York Giants,17.0,24.0,Dallas Cowboys,NYG,"(-4.0, 0)","(46.0, 0)",MetLife Stadium,False,77.0,"(5.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10566,10566,2012-09-16,2012,2,False,New York Giants,41.0,34.0,Tampa Bay Buccaneers,NYG,"(-8.0, 0)","(43.5, 0)",MetLife Stadium,False,75.0,"(8.0, 0)","(39.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10574,10574,2012-09-20,2012,3,False,Carolina Panthers,7.0,36.0,New York Giants,CAR,"(-3.0, 0)","(49.0, 0)",Bank of America Stadium,False,75.0,"(3.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10601,10601,2012-09-30,2012,4,False,Philadelphia Eagles,19.0,17.0,New York Giants,PHI,"(-1.5, 0)","(46.5, 0)",Lincoln Financial Field,False,63.0,"(8.0, 0)","(59.0, 0)","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
10614,10614,2012-10-07,2012,5,False,New York Giants,41.0,27.0,Cleveland Browns,NYG,"(-8.0, 0)","(44.0, 0)",MetLife Stadium,False,52.0,"(4.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10628,10628,2012-10-14,2012,6,False,San Francisco 49ers,3.0,26.0,New York Giants,SF,"(-7.0, 0)","(46.5, 0)",Candlestick Park,False,77.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10641,10641,2012-10-21,2012,7,False,New York Giants,27.0,23.0,Washington Redskins,NYG,"(-6.5, 0)","(51.5, 0)",MetLife Stadium,False,67.0,"(15.0, 0)","(44.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10649,10649,2012-10-28,2012,8,False,Dallas Cowboys,24.0,29.0,New York Giants,NYG,"(-2.5, 0)","(48.0, 0)",Cowboys Stadium,False,63.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10668,10668,2012-11-04,2012,9,False,New York Giants,20.0,24.0,Pittsburgh Steelers,NYG,"(-3.5, 0)","(47.5, 0)",MetLife Stadium,False,45.0,"(9.0, 0)","(58.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10678,10678,2012-11-11,2012,10,False,Cincinnati Bengals,31.0,13.0,New York Giants,NYG,"(-4.5, 0)","(47.5, 0)",Paul Brown Stadium,False,69.0,"(14.0, 0)","(30.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10714,10714,2012-11-25,2012,12,False,New York Giants,38.0,10.0,Green Bay Packers,NYG,"(-2.5, 0)","(51.5, 0)",MetLife Stadium,False,37.0,"(11.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10733,10733,2012-12-03,2012,13,False,Washington Redskins,17.0,16.0,New York Giants,NYG,"(-3.0, 0)","(50.0, 0)",FedEx Field,False,60.0,"(1.0, 0)","(98.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10743,10743,2012-12-09,2012,14,False,New York Giants,52.0,27.0,New Orleans Saints,NYG,"(-4.5, 0)","(51.5, 0)",MetLife Stadium,False,43.0,"(3.0, 0)","(88.0, 0)","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
10752,10752,2012-12-16,2012,15,False,Atlanta Falcons,34.0,0.0,New York Giants,PICK,"(0.0, 0)","(50.0, 0)",Georgia Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10768,10768,2012-12-23,2012,16,False,Baltimore Ravens,33.0,14.0,New York Giants,NYG,"(-2.5, 0)","(47.0, 0)",M&T Bank Stadium,False,51.0,"(7.0, 0)","(33.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10791,10791,2012-12-30,2012,17,False,New York Giants,42.0,7.0,Philadelphia Eagles,NYG,"(-6.5, 0)","(44.5, 0)",MetLife Stadium,False,34.0,"(21.0, 0)","(50.0, 0)","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
10814,10814,2013-09-08,2013,1,False,Dallas Cowboys,36.0,31.0,New York Giants,DAL,"(-3.5, 0)","(50.0, 0)",Cowboys Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10835,10835,2013-09-15,2013,2,False,New York Giants,23.0,41.0,Denver Broncos,DEN,"(-4.0, 0)","(55.5, 0)",MetLife Stadium,False,70.0,"(3.0, 0)","(33.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10843,10843,2013-09-22,2013,3,False,Carolina Panthers,38.0,0.0,New York Giants,NYG,"(-3.0, 0)","(47.0, 0)",Bank of America Stadium,False,77.0,"(15.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10865,10865,2013-09-29,2013,4,False,Kansas City Chiefs,31.0,7.0,New York Giants,KC,"(-4.5, 0)","(44.0, 0)",Arrowhead Stadium,False,73.0,"(5.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10880,10880,2013-10-06,2013,5,False,New York Giants,21.0,36.0,Philadelphia Eagles,NYG,"(-1.5, 0)","(54.0, 0)",MetLife Stadium,False,69.0,"(9.0, 0)","(100.0, 0)","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
10886,10886,2013-10-10,2013,6,False,Chicago Bears,27.0,21.0,New York Giants,CHI,"(-8.5, 0)","(48.0, 0)",Soldier Field,False,63.0,"(6.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10915,10915,2013-10-21,2013,7,False,New York Giants,23.0,7.0,Minnesota Vikings,NYG,"(-3.5, 0)","(47.0, 0)",MetLife Stadium,False,57.0,"(7.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10927,10927,2013-10-27,2013,8,False,Philadelphia Eagles,7.0,15.0,New York Giants,PHI,"(-5.5, 0)","(49.5, 0)",Lincoln Financial Field,False,58.0,"(13.0, 0)","(40.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10950,10950,2013-11-10,2013,10,False,New York Giants,24.0,20.0,Oakland Raiders,NYG,"(-7.0, 0)","(41.0, 0)",MetLife Stadium,False,53.0,"(14.0, 0)","(71.0, 0)","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
10965,10965,2013-11-17,2013,11,False,New York Giants,27.0,13.0,Green Bay Packers,NYG,"(-3.0, 0)","(40.5, 0)",MetLife Stadium,False,61.0,"(2.0, 0)","(100.0, 0)","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
10981,10981,2013-11-24,2013,12,False,New York Giants,21.0,24.0,Dallas Cowboys,NYG,"(-2.5, 0)","(44.0, 0)",MetLife Stadium,False,26.0,"(7.0, 0)","(40.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10999,10999,2013-12-01,2013,13,False,Washington Redskins,17.0,24.0,New York Giants,WAS,"(-1.0, 0)","(44.5, 0)",FedEx Field,False,43.0,"(3.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11012,11012,2013-12-08,2013,14,False,San Diego Chargers,37.0,14.0,New York Giants,LAC,"(-4.0, 0)","(46.5, 0)",Qualcomm Stadium,False,53.0,"(8.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11026,11026,2013-12-15,2013,15,False,New York Giants,0.0,23.0,Seattle Seahawks,SEA,"(-9.5, 0)","(43.0, 0)",MetLife Stadium,False,40.0,"(7.0, 0)","(88.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11037,11037,2013-12-22,2013,16,False,Detroit Lions,20.0,23.0,New York Giants,DET,"(-9.0, 0)","(48.5, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
