,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
5079,5079,1990-12-02,1990,13,False,Phoenix Cardinals,20.0,17.0,Indianapolis Colts,ARI,"(-2.0, 0)","(40.0, 0)",Sun Devil Stadium,False,56.0,"(5.0, 0)","(40.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5086,5086,1990-12-09,1990,14,False,Atlanta Falcons,13.0,24.0,Phoenix Cardinals,ATL,"(-5.0, 0)","(42.0, 0)",Atlanta-Fulton County Stadium,False,45.0,"(12.0, 0)","(40.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5101,5101,1990-12-16,1990,15,False,Dallas Cowboys,41.0,10.0,Phoenix Cardinals,DAL,"(-4.5, 0)","(37.0, 0)",Texas Stadium,False,48.0,"(10.0, 0)","(67.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5121,5121,1990-12-23,1990,16,False,Phoenix Cardinals,21.0,24.0,New York Giants,NYG,"(-6.5, 0)","(36.0, 0)",Sun Devil Stadium,False,36.0,"(8.0, 0)","(31.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5127,5127,1990-12-29,1990,17,False,Phoenix Cardinals,21.0,23.0,Philadelphia Eagles,PHI,"(-7.5, 0)","(43.0, 0)",Sun Devil Stadium,False,49.0,"(5.0, 0)","(89.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5159,5159,1991-09-01,1991,1,False,Los Angeles Rams,14.0,24.0,Phoenix Cardinals,LAR,"(-7.0, 0)","(42.0, 0)",Anaheim Stadium,False,66.0,"(9.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5174,5174,1991-09-08,1991,2,False,Philadelphia Eagles,10.0,26.0,Phoenix Cardinals,PHI,"(-6.5, 0)","(36.5, 0)",Veterans Stadium,False,76.0,"(8.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5191,5191,1991-09-15,1991,3,False,Washington Redskins,34.0,0.0,Phoenix Cardinals,WAS,"(-9.0, 0)","(41.0, 0)",RFK Memorial Stadium,False,76.0,"(8.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5203,5203,1991-09-22,1991,4,False,Phoenix Cardinals,9.0,17.0,Dallas Cowboys,ARI,"(-1.0, 0)","(36.0, 0)",Sun Devil Stadium,False,86.0,"(7.0, 0)","(43.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5215,5215,1991-09-29,1991,5,False,Phoenix Cardinals,24.0,10.0,New England Patriots,ARI,"(-6.0, 0)","(36.0, 0)",Sun Devil Stadium,False,87.0,"(6.0, 0)","(25.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5228,5228,1991-10-06,1991,6,False,New York Giants,20.0,9.0,Phoenix Cardinals,NYG,"(-9.5, 0)","(34.0, 0)",Giants Stadium,False,64.0,"(17.0, 0)","(88.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5235,5235,1991-10-13,1991,7,False,Minnesota Vikings,34.0,7.0,Phoenix Cardinals,MIN,"(-6.5, 0)","(36.0, 0)",Hubert H. Humphrey Metrodome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
5249,5249,1991-10-20,1991,8,False,Phoenix Cardinals,16.0,10.0,Atlanta Falcons,ATL,"(-2.5, 0)","(38.0, 0)",Sun Devil Stadium,False,83.0,"(7.0, 0)","(21.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5262,5262,1991-10-27,1991,9,False,Phoenix Cardinals,0.0,28.0,Minnesota Vikings,MIN,"(-2.0, 0)","(34.0, 0)",Sun Devil Stadium,False,65.0,"(8.0, 0)","(49.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5270,5270,1991-11-03,1991,10,False,Dallas Cowboys,27.0,7.0,Phoenix Cardinals,DAL,"(-9.5, 0)","(36.0, 0)",Texas Stadium,False,33.0,"(17.0, 0)","(49.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5287,5287,1991-11-10,1991,11,False,Phoenix Cardinals,14.0,21.0,New York Giants,NYG,"(-6.5, 0)","(34.0, 0)",Sun Devil Stadium,False,74.0,"(9.0, 0)","(39.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5304,5304,1991-11-17,1991,12,False,San Francisco 49ers,14.0,10.0,Phoenix Cardinals,SF,"(-12.0, 0)","(32.0, 0)",Candlestick Park,False,59.0,"(18.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5314,5314,1991-11-24,1991,13,False,Phoenix Cardinals,14.0,34.0,Philadelphia Eagles,PHI,"(-6.5, 0)","(33.0, 0)",Sun Devil Stadium,False,58.0,"(6.0, 0)","(18.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5343,5343,1991-12-08,1991,15,False,Phoenix Cardinals,14.0,20.0,Washington Redskins,WAS,"(-14.0, 0)","(40.0, 0)",Sun Devil Stadium,False,59.0,"(6.0, 0)","(45.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
