,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
1993,1993,1976-11-14,1976,10,False,Los Angeles Rams,28.0,30.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,62.0,"(7.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2013,2013,1976-11-21,1976,11,False,St. Louis Cardinals,10.0,16.0,Washington Redskins,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,39.0,"(17.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2016,2016,1976-11-25,1976,12,False,Dallas Cowboys,19.0,14.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Texas Stadium,False,59.0,"(15.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2031,2031,1976-12-04,1976,13,False,St. Louis Cardinals,24.0,17.0,Baltimore Colts,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,28.0,"(8.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2053,2053,1976-12-12,1976,14,False,New York Giants,14.0,17.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Giants Stadium,False,40.0,"(8.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2069,2069,1977-09-18,1977,1,False,Denver Broncos,7.0,0.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Mile High Stadium,False,60.0,"(10.0, 0)","(24.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2090,2090,1977-09-25,1977,2,False,St. Louis Cardinals,16.0,13.0,Chicago Bears,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,68.0,"(10.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2105,2105,1977-10-02,1977,3,False,Washington Redskins,24.0,14.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,74.0,"(15.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2118,2118,1977-10-09,1977,4,False,St. Louis Cardinals,24.0,30.0,Dallas Cowboys,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,49.0,"(13.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2131,2131,1977-10-16,1977,5,False,Philadelphia Eagles,17.0,21.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Veterans Stadium,False,55.0,"(9.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2145,2145,1977-10-23,1977,6,False,St. Louis Cardinals,49.0,31.0,New Orleans Saints,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,62.0,"(11.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2162,2162,1977-10-31,1977,7,False,St. Louis Cardinals,28.0,0.0,New York Giants,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,62.0,"(14.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2170,2170,1977-11-06,1977,8,False,Minnesota Vikings,7.0,27.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,49.0,"(8.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
